sig_levels,estimate,evarname,pvarname,evardesc,pvardesc
> BY & Bonf.,0.0013398820078318796,URX14D,DXDTOBMC,"2,5-dichlorophenol (ug/L)",Total Bone Mineral Content (g)
> BY & Bonf.,-0.006722708562588038,SMQ_how_long_since_quit_years,DXXPEA,How long since quit,Pelvis Area (cm^2)
> BY & Bonf.,-0.05085680515854864,DR2TVB1,RB_ObservedOTUsSD,Thiamin (Vitamin B1) (mg),RB_ObservedOTUsSD
> BY & Bonf.,0.04151247895098019,LBXVFN,LBDEONO,Blood Furan (ng/mL),Eosinophils number (1000 cells/uL)
> BY & Bonf.,-0.05964194026161697,DRXTZINC,LBXSGTSI,Zinc (mg),Gamma glutamyl transferase (U/L)
> BY & Bonf.,-0.0028972137575765246,DR1TFA,LBXTST,Folic acid (mcg),Testosterone total (ng/dL)
> BY & Bonf.,0.05460834503213547,LBDRPCR,DXXNKBMD,Roche HPV linear array (LA) summary result,Femoral neck bone mineral density (gm/cm^2)
> BY & Bonf.,-0.00961019670899777,DR2TP184,DXXTATM,PFA 18:4 (Octadecatetraenoic) (gm),Total abdominal fat mass
> BY & Bonf.,0.00609820335394544,DS2TVC,DXDSTBMC,Vitamin C (mg),Subtotal Bone Mineral Content (grams)
> BY & Bonf.,-0.007208347154734607,LBXVME,DXXSATM,Blood Methyl t-Butyl Ether (MTBE) Result (pg/mL),Subcutaneous fat mass
> BY & Bonf.,-0.008669494138276472,DSQTSELE,DXDTOPF,Selenium (mcg),Total Percent Fat
> BY & Bonf.,-0.007194903281208542,LBXEPAH,LBXSTR,2-(N-Ethyl-perfluorooctane sulfonamido) acetic acid,Triglycerides (mg/dL)
> BY & Bonf.,-0.031796389927312124,LBXMFOS,DXXRAFAT,Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) (ng/mL),Right Arm Fat (grams)
> BY & Bonf.,0.05795271618236358,SMQ710,DXXLLBMD,"During the past 5 days {including today}, on how many days did {you/he/she}",Left Leg Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.013484483965043367,LBXD04,LBXSCR,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (hxcdd) (fg/g)",Creatinine (mg/dL)
> BY & Bonf.,0.028943337898880525,LBXVST,LBXSGB,Blood Styrene Result (ng/mL),Globulin (g/dL)
> BY & Bonf.,-0.020996171987757113,URXMB3,LBXSCH,N-acetyl-s-(4-hydroxy-2-butenyl)-L-cysteine (ng/mL),Cholesterol (mg/dL)
> BY & Bonf.,-0.03086412971194253,LBXVIC,LBDLYMNO,Vitamin C (mg/dL),Lymphocyte number (1000 cells/uL)
> BY & Bonf.,0.03213986013680267,LBXF04,LBXBAP,"1,2,3,4,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g)",Bone alkaline phosphotase (ug/L)
> BY & Bonf.,-0.03719296656454614,LBXS16MK,LBXSGTSI,HPV 16 (Merck competitive Luminex assay),Gamma glutamyl transferase (U/L)
> BY & Bonf.,0.01097479510972881,URXPHE,LBXNEPCT,N-acetyl-S-(phenyl-2-hydroxyethyl)-L-cysteine(ng/mL),Segmented neutrophils percent (%)
> BY & Bonf.,-0.02604384159534009,LBXV2A,DXXLLBMD,"Blood 1,2-Dichloroethane Result",Left Leg Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.012928151529410554,DRXTFOLA,LBXSCA,Total Folate (mcg),Total calcium (mg/dL)
> BY & Bonf.,0.0021925388863620323,DR2TM201,LBXSCR,MFA 20:1 (Eicosenoic) (gm),Creatinine (mg/dL)
> BY & Bonf.,0.011028854668547076,URXMX1,LBXSPH,1-methylxanthine (umol/L),Phosphorus (mg/dL)
> BY & Bonf.,-0.03885580974522155,DR2TB12A,LBXP2,Added vitamin B12 (mcg),"Prostate specific antigen (PSA), free (ng/mL)"
> BY & Bonf.,4.3648783971606453e-4,URXCOP,LBXAPB,Mono(carboxyoctyl) phthalate(ng/mL),Apolipoprotein (B) (mg/dL)
> BY & Bonf.,0.014069406817971574,URXDEA,LBXSF4SI,DEET acid (ug/L),Tetrahydrofolate (nmol/L)
> BY & Bonf.,0.033714494741553594,URXMU4,LBDLYMNO,"1,3-dimethyluric acid (umol/L)",Lymphocyte number (1000 cells/uL)
> BY & Bonf.,-0.011549904897597872,URXUMO,DXDSTFAT,"Molybdenum, urine (ng/mL)",Subtotal Fat (g)
> BY & Bonf.,0.015430113912841553,DSQTZINC,LBXEOPCT,Zinc (mg),Eosinophils percent (%)
> BY & Bonf.,-0.014339239360558857,DR1TM181,URXUMA,MFA 18:1 (Octadecenoic) (gm),"Albumin, urine (ug/mL)"
> BY & Bonf.,0.02906618355372485,DS1TIODI,LBXSATSI,Iodine (mcg),Alanine aminotransferase ALT (U/L)
> BY & Bonf.,-0.011585003091452632,LBXVEC,DXAFMRD0,Blood Chloroethane (ng/mL),Calculated DO for femur
> BY & Bonf.,0.004678626710849423,URX14D,DXDSTBMC,"2,5-dichlorophenol (ug/L)",Subtotal Bone Mineral Content (grams)
> BY & Bonf.,-0.1004483506528809,SMD630,LBXRBCSI,How old were you when you smoked a whole cigarette for the first time?,Red blood cell count (million cells/uL)
> BY & Bonf.,-0.0048613590375847756,LBXVEC,DXXRABMC,Blood Chloroethane (ng/mL),Right Arm Bone Mineral Content (grams)
> BY & Bonf.,-0.03205861254230326,URX3TB,DXXL4BMD,"2,4,6-trichlorophenol (ug/L) result",L4 Bone Mineral Density
> BY & Bonf.,-0.010599102878422872,DR2TVD,DXDLATOT,Vitamin D (D2 + D3) (mcg),Left Arm Total (grams)
> BY & Bonf.,-8.073727578293572e-4,LBXVIA,DXASPNK,Retinol(ug/dL),Calculated K for spine
