term,estimate,std.error,statistic,df,p.value
(Intercept),-2.5769594207862005,0.11073304780169851,-23.271818774473154,21.858615502771155,6.476542752084712e-17
RIAGENDR,-0.17371136429535158,0.019790022325061607,-8.777724524108681,11.91897903509419,1.5088691486086385e-6
RIDAGEYR,0.01954416823654807,0.0023695918666210626,8.24790484465041,12.323427952824236,2.297881462990846e-6
AGE_SQUARED,-2.3985451478310634e-4,2.8866252526946055e-5,-8.309167064869508,11.624214467278906,3.15201918522933e-6
ETHNICITY_NONHISPANICBLACK,-0.04861287394933587,0.021124143487350613,-2.301294439627615,14.078683607569381,0.03716410642611897
ETHNICITY_OTHER,0.1145448062088793,0.03352508278278918,3.416689734996966,12.820147247770945,0.004677748891149425
ETHNICITY_MEXICAN,0.12789191671939618,0.021149903662766863,6.046926679129145,14.718189713138305,2.4244051800717982e-5
ETHNICITY_OTHERHISPANIC,0.2169497938686341,0.029621680790934378,7.324020382227294,14.868771231715412,2.6434908660040093e-6
EDUCATION_LESS9,0.12093032541612002,0.01980188908155128,6.107009534195732,20.29049118877891,5.384666735551346e-6
EDUCATION_9_11,0.04293637771740246,0.0197222015865233,2.1770580494797303,17.01014007362314,0.043847719075436505
EDUCATION_HSGRAD,0.014548242131086506,0.019048515598262372,0.7637467631553198,16.52379243849241,0.4557859260105046
"ns(log(LBXTC), df = 3)1",-0.8908527608587621,0.05007969600835765,-17.7887014471911,25.492028694358712,6.894326121451025e-16
"ns(log(LBXTC), df = 3)2",0.7711010209883224,0.3365315649991622,2.2913185602374093,14.842730855550464,0.03700450747652837
"ns(log(LBXTC), df = 3)3",1.0341631797629425,0.3850339334140911,2.6859013972951176,11.504924608288425,0.020461425327396858
LBXOTT,0.3577849554878326,0.027261051983495616,13.124400177382837,9.901211054610203,1.386634819502998e-7
LBXOD9,-0.011462289127856297,0.004860618640456333,-2.3581955252470035,9.350590308887915,0.041729439455859774
LBXHDT,0.0830530722012683,0.01379538092295825,6.0203536723695334,9.513446487438419,1.5769437878563938e-4
LBXOD1,-0.00302865482701709,0.005450404850999389,-0.5556752039184308,9.009894873717299,0.5919612370306914
LBXVIE,7.389683967994038e-4,2.6930880212282244e-5,27.439444644010774,12.303703707701201,2.0711963398693957e-12
LBXDIE,0.43635712221484085,0.3031740654695001,1.43929567833941,9.057965540435868,0.18371383006648834
LBXOXY,0.9510088051083114,0.8699103816120094,1.0932261819269482,9.124086165193301,0.3023163163201641
LBXHPE,-0.3962520185443462,0.40750067632308407,-0.972395977645398,9.22539301670146,0.355657995282023
LBXGTC,0.0031122606642010123,1.2873937083284615e-4,24.174894160714356,10.550673830533492,1.396415464200787e-10
LBXTNA,0.2388942938785517,0.4040927679674699,0.5911867591200818,9.086916703090687,0.5688074856230989
LBXRST,0.22025166633753057,0.036721339255127175,5.9979203047933005,9.72701883073496,1.4829883107918631e-4
LBXF04,-0.003414658679680448,0.0017329274109133706,-1.9704568455528617,9.411594904737333,0.078884376694215
LBXBHC,0.06938369459879554,0.06447104963342613,1.0761992397099482,8.940522554299454,0.3100202215146371
LBX118,-0.4343232853113976,0.49535242846113353,-0.8767965197236851,9.34400582770983,0.4025763133362249
LBXF03,0.004940291915164982,0.001747521194472196,2.8270283249165966,9.113879869761076,0.019580412940312587
LBX074,-1.6638069095571968,1.0418419499237148,-1.596985905279609,9.239918402924333,0.1438570789518414
LBX170,-2.830032898417823,0.6566182659581212,-4.310012445798029,9.556296591235155,0.0017069529336886295
LBX099,-0.8676041893745687,0.8525547344039568,-1.0176521862624262,9.921851599763603,0.33301591303795663
LBXHCB,-0.36868782333985217,0.22633834954491647,-1.6289233533828817,10.042553918572638,0.13425582369001274
LBX138,1.4703539733697544,0.1833769532763674,8.018204834899748,11.264421044649435,5.5026438392049345e-6
