evarname,pvarname,n,e_table_name,p_table_name
DR1TACAR,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TACAR,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TALCO,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOA,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TATOC,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TB12A,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
