pvarname,evarname,n,e_table_name,p_table_name
CFDDS,DR1TACAR,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TALCO,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TATOA,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TATOC,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TB12A,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TBCAR,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TCAFF,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TCALC,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TCARB,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TCHOL,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TCOPP,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TCRYP,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TFA,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TFDFE,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TFF,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TFIBE,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TFOLA,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TIRON,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TKCAL,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TLYCO,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TLZ,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TM161,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TM181,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TM201,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TM221,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TMAGN,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TMFAT,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TMOIS,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TNIAC,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TNUMF,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP182,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP183,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP184,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP204,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP205,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP225,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TP226,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TPFAT,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TPHOS,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TPOTA,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TPROT,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TRET,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS040,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS060,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS080,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS100,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS120,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS140,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS160,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TS180,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TSELE,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TSFAT,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TSODI,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TSUGR,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TTFAT,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TTHEO,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVARA,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVB1,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVB12,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVB2,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVB6,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVC,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVD,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TVK,1457,DR1TOT_H,CFQ_H
CFDDS,DR1TZINC,1457,DR1TOT_H,CFQ_H
CFDDS,DR2TACAR,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TALCO,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TATOA,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TATOC,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TB12A,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TBCAR,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCAFF,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCALC,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCARB,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCHL,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCHOL,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCOPP,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TCRYP,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TFA,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TFDFE,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TFF,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TFIBE,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TFOLA,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TIRON,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TKCAL,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TLYCO,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TLZ,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TM161,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TM181,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TM201,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TM221,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TMAGN,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TMFAT,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TMOIS,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TNIAC,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TNUMF,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP182,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP183,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP184,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP204,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP205,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP225,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TP226,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TPFAT,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TPHOS,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TPOTA,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TPROT,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TRET,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS040,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS060,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS080,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS100,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS120,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS140,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS160,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TS180,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TSELE,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TSFAT,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TSODI,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TSUGR,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TTFAT,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TTHEO,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVARA,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVB1,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVB12,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVB2,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVB6,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVC,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVD,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TVK,1348,DR2TOT_H,CFQ_H
CFDDS,DR2TZINC,1348,DR2TOT_H,CFQ_H
CFDDS,DS1DSCNT,1451,DS1TOT_H,CFQ_H
CFDDS,DS1TCAFF,2,DS1TOT_H,CFQ_H
CFDDS,DS1TCALC,625,DS1TOT_H,CFQ_H
CFDDS,DS1TCARB,209,DS1TOT_H,CFQ_H
CFDDS,DS1TCHL,63,DS1TOT_H,CFQ_H
CFDDS,DS1TCHOL,172,DS1TOT_H,CFQ_H
CFDDS,DS1TCOPP,452,DS1TOT_H,CFQ_H
CFDDS,DS1TFA,478,DS1TOT_H,CFQ_H
CFDDS,DS1TFDFE,478,DS1TOT_H,CFQ_H
CFDDS,DS1TFIBE,43,DS1TOT_H,CFQ_H
CFDDS,DS1TIODI,357,DS1TOT_H,CFQ_H
CFDDS,DS1TIRON,256,DS1TOT_H,CFQ_H
CFDDS,DS1TKCAL,411,DS1TOT_H,CFQ_H
CFDDS,DS1TLYCO,223,DS1TOT_H,CFQ_H
CFDDS,DS1TLZ,263,DS1TOT_H,CFQ_H
CFDDS,DS1TMAGN,481,DS1TOT_H,CFQ_H
CFDDS,DS1TMFAT,20,DS1TOT_H,CFQ_H
CFDDS,DS1TNIAC,486,DS1TOT_H,CFQ_H
