pvarname,evarname,n,e_table_name,p_table_name
XY_Estimation,DRDTSODI,1178,DRXTOT,DNAM_A
HorvathAge,DRDTSODI,1178,DRXTOT,DNAM_A
HannumAge,DRDTSODI,1178,DRXTOT,DNAM_A
SkinBloodAge,DRDTSODI,1178,DRXTOT,DNAM_A
PhenoAge,DRDTSODI,1178,DRXTOT,DNAM_A
GDF15Mort,DRDTSODI,1178,DRXTOT,DNAM_A
B2MMort,DRDTSODI,1178,DRXTOT,DNAM_A
CystatinCMort,DRDTSODI,1178,DRXTOT,DNAM_A
TIMP1Mort,DRDTSODI,1178,DRXTOT,DNAM_A
ADMMort,DRDTSODI,1178,DRXTOT,DNAM_A
PAI1Mort,DRDTSODI,1178,DRXTOT,DNAM_A
LeptinMort,DRDTSODI,1178,DRXTOT,DNAM_A
PACKYRSMort,DRDTSODI,1178,DRXTOT,DNAM_A
CRPMort,DRDTSODI,1178,DRXTOT,DNAM_A
logA1CMort,DRDTSODI,1178,DRXTOT,DNAM_A
GrimAgeMort,DRDTSODI,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRDTSODI,1178,DRXTOT,DNAM_A
HorvathTelo,DRDTSODI,1178,DRXTOT,DNAM_A
YangCell,DRDTSODI,1178,DRXTOT,DNAM_A
ZhangAge,DRDTSODI,1178,DRXTOT,DNAM_A
LinAge,DRDTSODI,1178,DRXTOT,DNAM_A
WeidnerAge,DRDTSODI,1178,DRXTOT,DNAM_A
VidalBraloAge,DRDTSODI,1178,DRXTOT,DNAM_A
DunedinPoAm,DRDTSODI,1178,DRXTOT,DNAM_A
CD8TPP,DRDTSODI,1178,DRXTOT,DNAM_A
CD4TPP,DRDTSODI,1178,DRXTOT,DNAM_A
Nkcell,DRDTSODI,1178,DRXTOT,DNAM_A
Bcell,DRDTSODI,1178,DRXTOT,DNAM_A
MonoPP,DRDTSODI,1178,DRXTOT,DNAM_A
NeuPP,DRDTSODI,1178,DRXTOT,DNAM_A
WTDN4YR,DRDTSODI,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTALCO,1178,DRXTOT,DNAM_A
HorvathAge,DRXTALCO,1178,DRXTOT,DNAM_A
HannumAge,DRXTALCO,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTALCO,1178,DRXTOT,DNAM_A
PhenoAge,DRXTALCO,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTALCO,1178,DRXTOT,DNAM_A
B2MMort,DRXTALCO,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTALCO,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTALCO,1178,DRXTOT,DNAM_A
ADMMort,DRXTALCO,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTALCO,1178,DRXTOT,DNAM_A
LeptinMort,DRXTALCO,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTALCO,1178,DRXTOT,DNAM_A
CRPMort,DRXTALCO,1178,DRXTOT,DNAM_A
logA1CMort,DRXTALCO,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTALCO,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTALCO,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTALCO,1178,DRXTOT,DNAM_A
YangCell,DRXTALCO,1178,DRXTOT,DNAM_A
ZhangAge,DRXTALCO,1178,DRXTOT,DNAM_A
LinAge,DRXTALCO,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTALCO,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTALCO,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTALCO,1178,DRXTOT,DNAM_A
CD8TPP,DRXTALCO,1178,DRXTOT,DNAM_A
CD4TPP,DRXTALCO,1178,DRXTOT,DNAM_A
Nkcell,DRXTALCO,1178,DRXTOT,DNAM_A
Bcell,DRXTALCO,1178,DRXTOT,DNAM_A
MonoPP,DRXTALCO,1178,DRXTOT,DNAM_A
NeuPP,DRXTALCO,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTALCO,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTCAFF,1178,DRXTOT,DNAM_A
HorvathAge,DRXTCAFF,1178,DRXTOT,DNAM_A
HannumAge,DRXTCAFF,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTCAFF,1178,DRXTOT,DNAM_A
PhenoAge,DRXTCAFF,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTCAFF,1178,DRXTOT,DNAM_A
B2MMort,DRXTCAFF,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTCAFF,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTCAFF,1178,DRXTOT,DNAM_A
ADMMort,DRXTCAFF,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTCAFF,1178,DRXTOT,DNAM_A
LeptinMort,DRXTCAFF,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTCAFF,1178,DRXTOT,DNAM_A
CRPMort,DRXTCAFF,1178,DRXTOT,DNAM_A
logA1CMort,DRXTCAFF,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTCAFF,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTCAFF,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTCAFF,1178,DRXTOT,DNAM_A
YangCell,DRXTCAFF,1178,DRXTOT,DNAM_A
ZhangAge,DRXTCAFF,1178,DRXTOT,DNAM_A
LinAge,DRXTCAFF,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTCAFF,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTCAFF,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTCAFF,1178,DRXTOT,DNAM_A
CD8TPP,DRXTCAFF,1178,DRXTOT,DNAM_A
CD4TPP,DRXTCAFF,1178,DRXTOT,DNAM_A
Nkcell,DRXTCAFF,1178,DRXTOT,DNAM_A
Bcell,DRXTCAFF,1178,DRXTOT,DNAM_A
MonoPP,DRXTCAFF,1178,DRXTOT,DNAM_A
NeuPP,DRXTCAFF,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTCAFF,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTCALC,1178,DRXTOT,DNAM_A
HorvathAge,DRXTCALC,1178,DRXTOT,DNAM_A
HannumAge,DRXTCALC,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTCALC,1178,DRXTOT,DNAM_A
PhenoAge,DRXTCALC,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTCALC,1178,DRXTOT,DNAM_A
B2MMort,DRXTCALC,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTCALC,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTCALC,1178,DRXTOT,DNAM_A
ADMMort,DRXTCALC,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTCALC,1178,DRXTOT,DNAM_A
LeptinMort,DRXTCALC,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTCALC,1178,DRXTOT,DNAM_A
CRPMort,DRXTCALC,1178,DRXTOT,DNAM_A
logA1CMort,DRXTCALC,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTCALC,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTCALC,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTCALC,1178,DRXTOT,DNAM_A
YangCell,DRXTCALC,1178,DRXTOT,DNAM_A
ZhangAge,DRXTCALC,1178,DRXTOT,DNAM_A
LinAge,DRXTCALC,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTCALC,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTCALC,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTCALC,1178,DRXTOT,DNAM_A
CD8TPP,DRXTCALC,1178,DRXTOT,DNAM_A
CD4TPP,DRXTCALC,1178,DRXTOT,DNAM_A
Nkcell,DRXTCALC,1178,DRXTOT,DNAM_A
Bcell,DRXTCALC,1178,DRXTOT,DNAM_A
MonoPP,DRXTCALC,1178,DRXTOT,DNAM_A
NeuPP,DRXTCALC,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTCALC,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTCARB,1178,DRXTOT,DNAM_A
HorvathAge,DRXTCARB,1178,DRXTOT,DNAM_A
HannumAge,DRXTCARB,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTCARB,1178,DRXTOT,DNAM_A
PhenoAge,DRXTCARB,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTCARB,1178,DRXTOT,DNAM_A
B2MMort,DRXTCARB,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTCARB,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTCARB,1178,DRXTOT,DNAM_A
ADMMort,DRXTCARB,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTCARB,1178,DRXTOT,DNAM_A
LeptinMort,DRXTCARB,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTCARB,1178,DRXTOT,DNAM_A
CRPMort,DRXTCARB,1178,DRXTOT,DNAM_A
logA1CMort,DRXTCARB,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTCARB,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTCARB,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTCARB,1178,DRXTOT,DNAM_A
YangCell,DRXTCARB,1178,DRXTOT,DNAM_A
ZhangAge,DRXTCARB,1178,DRXTOT,DNAM_A
