Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints
XY_Estimation,Predicted biological sex from DNAm (XY estimation),DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
HorvathAge,DNAm age (Horvath clock),DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
HannumAge,DNAm age (Hannum clock),DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
SkinBloodAge,DNAm age (Skin & Blood clock),DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
PhenoAge,DNAm PhenoAge,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
GDF15Mort,DNAm GrimAge surrogate: GDF15,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
B2MMort,DNAm GrimAge surrogate: Beta-2 microglobulin,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
CystatinCMort,DNAm GrimAge surrogate: Cystatin C,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
TIMP1Mort,DNAm GrimAge surrogate: TIMP1,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
ADMMort,DNAm GrimAge surrogate: Adrenomedullin,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
PAI1Mort,DNAm GrimAge surrogate: PAI-1,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
LeptinMort,DNAm GrimAge surrogate: Leptin,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
PACKYRSMort,DNAm smoking pack-years surrogate,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
CRPMort,DNAm GrimAge surrogate: CRP,DNAM_A,DNA methylation (epigenetic clocks and surrogates),1999,2000,Laboratory,None
