Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints
RB_ObservedOTUsMean,RB_ObservedOTUsMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_FaPhyloDivMean,RB_FaPhyloDivMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_ShanWienDivMean,RB_ShanWienDivMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_InverseSimpsonMean,RB_InverseSimpsonMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_ObservedOTUsMean,RSV_ObservedOTUsMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_FaPhyloDivMean,RSV_FaPhyloDivMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_ShanWienDivMean,RSV_ShanWienDivMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_InverseSimpsonMean,RSV_InverseSimpsonMean,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_ObservedOTUsMean,RB_ObservedOTUsMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_FaPhyloDivMean,RB_FaPhyloDivMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_ShanWienDivMean,RB_ShanWienDivMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_InverseSimpsonMean,RB_InverseSimpsonMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_ObservedOTUsMean,RSV_ObservedOTUsMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_FaPhyloDivMean,RSV_FaPhyloDivMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_ShanWienDivMean,RSV_ShanWienDivMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_InverseSimpsonMean,RSV_InverseSimpsonMean,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_ObservedOTUsSD,RB_ObservedOTUsSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_FaPhyloDivSD,RB_FaPhyloDivSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_ShanWienDivSD,RB_ShanWienDivSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_InverseSimpsonSD,RB_InverseSimpsonSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_ObservedOTUsSD,RSV_ObservedOTUsSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_FaPhyloDivSD,RSV_FaPhyloDivSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_ShanWienDivSD,RSV_ShanWienDivSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RSV_InverseSimpsonSD,RSV_InverseSimpsonSD,ALPHADIVERSITY_F,Oral Microbiome Alpha Diversity,2009,2010,Laboratory,None
RB_ObservedOTUsSD,RB_ObservedOTUsSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_FaPhyloDivSD,RB_FaPhyloDivSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_ShanWienDivSD,RB_ShanWienDivSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RB_InverseSimpsonSD,RB_InverseSimpsonSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_ObservedOTUsSD,RSV_ObservedOTUsSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_FaPhyloDivSD,RSV_FaPhyloDivSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_ShanWienDivSD,RSV_ShanWienDivSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
RSV_InverseSimpsonSD,RSV_InverseSimpsonSD,ALPHADIVERSITY_G,Oral Microbiome Alpha Diversity,2011,2012,Laboratory,None
