Variable.Name,sample_vardesc,sample_tablename,epcf,n,category,subcategory
AGD020,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} ,Allergy,p,1,disease,allergy
AGD050,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} ,Allergy,p,1,disease,allergy
AGD170,At what age did this itchy rash first occur?,Allergy,p,1,disease,allergy
AGQ010,Has a doctor or other health professional ever told {you/SP} that {you have,Allergy,p,1,disease,allergy
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",Allergy,p,1,disease,allergy
AGQ040,Has a doctor or other health professional ever told {you/SP} that {you have,Allergy,p,1,disease,allergy
AGQ060,"During the past 12 months, {have you/has SP} had any allergy symptoms or an",Allergy,p,1,disease,allergy
AGQ070,"In the last 12 months, {have you/has SP} removed a dog, cat or other small ",Allergy,p,1,disease,allergy
AGQ080A,Which kind of pet was removed from {your/SP's} home?,Allergy,p,1,disease,allergy
AGQ080B,Which kind of pet was removed from {your/SP's} home?,Allergy,p,1,disease,allergy
AGQ080C,Which kind of pet was removed from {your/SP's} home?,Allergy,p,1,disease,allergy
AGQ090,{Have you/Has SP} avoided bringing new pets into {your/his/her} home becaus,Allergy,p,1,disease,allergy
AGQ100,"During the past 12 months, {have you/has SP} had a problem with sneezing, o",Allergy,p,1,disease,allergy
AGQ110A,In which season did this nose problem occur?,Allergy,p,1,disease,allergy
AGQ110B,In which season did this nose problem occur?,Allergy,p,1,disease,allergy
AGQ110C,In which season did this nose problem occur?,Allergy,p,1,disease,allergy
AGQ110D,In which season did this nose problem occur?,Allergy,p,1,disease,allergy
AGQ120,"During the past 12 months, did a doctor or other health professional tell {",Allergy,p,1,disease,allergy
AGQ130,{Have you/Has SP} ever had an itchy rash which was coming and going for at ,Allergy,p,1,disease,allergy
AGQ140,{Have you/Has SP} had this itchy rash at any time in the last 12 months?,Allergy,p,1,disease,allergy
AGQ150,Has this rash cleared up completely at any time during the last 12 months?,Allergy,p,1,disease,allergy
AGQ160,Has this itchy rash at any time affected any of the following places:  the ,Allergy,p,1,disease,allergy
AGQ180,Has a doctor or other health professional ever told {you/SP} that {you have,Allergy,p,1,disease,allergy
ARD026A,"How often did {you/SP} get NECK pain, aching or stiffness? Did {you/SP} hav",Arthritis,p,1,disease,arthritis
ARD026B,"How often did {you/SP} get UPPER BACK pain, aching or stiffness? Did {you/S",Arthritis,p,1,disease,arthritis
ARD026C,"How often did {you/SP} get MID BACK pain, aching or stiffness? Did {you/SP}",Arthritis,p,1,disease,arthritis
ARD026D,"How often did {you/SP} get LOW BACK pain, aching or stiffness? Did {you/SP}",Arthritis,p,1,disease,arthritis
ARD026E,"How often did {you/SP} get BUTTOCKS pain, aching or stiffness? Did {you/SP}",Arthritis,p,1,disease,arthritis
ARD026F,"How often did {you/SP} get HIP pain, aching or stiffness? Did {you/SP} have",Arthritis,p,1,disease,arthritis
ARD026G,"How often did {you/SP} get RIB CAGE pain, aching or stiffness? Did {you/SP}",Arthritis,p,1,disease,arthritis
ARD118AE,"Was the cause of the pain at Location A: injury, sprain, strain or fracture",Arthritis,p,1,disease,arthritis
ARD118AO,Was the cause of the pain at Location A- all other causes,Arthritis,p,1,disease,arthritis
ARD118BE,"Was the cause of the pain at Location B: injury, sprain, strain",Arthritis,p,1,disease,arthritis
ARD118BO,Was the cause of the pain at  Location B: all other causes,Arthritis,p,1,disease,arthritis
ARD125A,"Next are some questions about conditions that affect the eyes, the intestin",Arthritis,p,1,disease,arthritis
ARD130A,"Did {you/SP} have pain and sensitivity to light in just one eye at a time, ",Arthritis,p,1,disease,arthritis
ARDDINEX,"MEASURED DIFFERENCE IN CHEST CIRCUMFERENCE, INSPIRATION MINUS EXHALATION (I",Arthritis Body Measures,p,1,disease,arthritis
ARDEXSTS,ARTHRITIS BODY MEASURES EXAMINATION STATUS,Arthritis Body Measures,p,1,disease,arthritis
ARDLFTL,THE DISTANCE IN CM BETWEEN THE TWO INDICATOR MARKS PLACED ON THE LOWER BACK,Arthritis Body Measures,p,1,disease,arthritis
ARICCEX,"CHEST CIRCUMFERENCE, EXHALATION COMMENT",Arthritis Body Measures,p,1,disease,arthritis
ARICCIN,"CHEST CIRCUMFERENCE, INSPIRATION COMMENT",Arthritis Body Measures,p,1,disease,arthritis
ARILFTL,LUMBAR FLEXION TEST LENGTH COMMENT,Arthritis Body Measures,p,1,disease,arthritis
ARIO2WD,OCCIPUT-TO-WALL DISTANCE COMMENT,Arthritis Body Measures,p,1,disease,arthritis
ARIXDIST,DISTANCE BETWEEN CHEST CIRCUMFERENCE MEASUREMENT LANDMARKS COMMENT,Arthritis Body Measures,p,1,disease,arthritis
ARQ010,"These next questions are about pain in the back, neck or hip area that {you",Arthritis,p,1,disease,arthritis
ARQ020A,Pain Diagram Area 1: Neck,Arthritis,p,1,disease,arthritis
ARQ020B,Pain Diagram Area 2: Upper Back,Arthritis,p,1,disease,arthritis
ARQ020C,Pain Diagram Area 3: Mid Back,Arthritis,p,1,disease,arthritis
ARQ020D,Pain Diagram Area 4: Low Back,Arthritis,p,1,disease,arthritis
ARQ020E,Pain Diagram Area 5: Buttocks,Arthritis,p,1,disease,arthritis
ARQ020F,Pain Diagram Area 6: Anterior Hips,Arthritis,p,1,disease,arthritis
ARQ020G,Pain Diagram Area 7: Sternum and Anterior Rib Cage,Arthritis,p,1,disease,arthritis
ARQ021AA,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021AB,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021AC,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021AD,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021AE,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021AF,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021AG,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
